symbol,total_events,fraud_count,suspicious_count,avg_risk_score,max_risk_score,total_volume,avg_volume_spike,fraud_rate_pct,risk_tier
BTC,670,245,61,0.4342,0.9438,5494381.84,8.95,36.57,MEDIUM
ETH,667,218,62,0.6769,0.9289,27403271.19,7.77,32.68,HIGH
SOL,458,185,69,0.4251,0.9803,36377028.64,4.13,40.39,MEDIUM
XRP,457,142,102,0.5049,0.8817,24719794.78,4.08,31.07,MEDIUM
BNB,626,128,43,0.6075,0.9083,40351192.68,12.51,20.45,HIGH
ADA,398,115,95,0.5776,0.9756,17552441.03,10.79,28.89,MEDIUM
AVAX,630,98,58,0.6844,0.8981,26856612.82,14.07,15.56,HIGH
DOGE,493,87,70,0.671,0.921,9452276.68,11.34,17.65,HIGH
DOT,424,76,108,0.3556,0.8877,10396918.75,14.31,17.92,LOW
LINK,436,68,48,0.5519,0.8916,24980014.95,15.69,15.6,MEDIUM
MATIC,614,58,53,0.4577,0.8936,40729313.09,15.67,9.45,MEDIUM
