minute_bucket,total_events,fraud_count,suspicious_count,safe_count,avg_risk_score,max_risk_score,avg_volume_spike,total_volume,fraud_rate_pct,hour_of_day,day_of_week
2026-08-30 23:29:00,10,2,5,3,0.178,0.8138,12.14,673000.72,20.0,23,7
2026-08-30 23:19:00,15,0,4,11,0.1181,0.7731,11.36,414621.03,0.0,23,7
2026-08-30 23:09:00,15,1,2,12,0.1228,0.889,2.87,735291.43,6.67,23,7
2026-08-30 22:59:00,16,0,3,13,0.1405,0.9006,7.63,569877.28,0.0,22,7
2026-08-30 22:49:00,14,2,1,11,0.1382,0.76,6.58,313888.97,14.29,22,7
2026-08-30 22:39:00,7,1,4,2,0.1623,0.7909,11.62,514848.91,14.29,22,7
2026-08-30 22:29:00,11,0,2,9,0.1627,0.7555,12.02,435842.75,0.0,22,7
2026-08-30 22:19:00,16,1,1,14,0.1481,0.8678,11.77,507382.44,6.25,22,7
2026-08-30 22:09:00,13,0,3,10,0.1174,0.8296,6.89,401129.17,0.0,22,7
2026-08-30 21:59:00,5,0,2,3,0.2055,0.7837,7.28,136860.59,0.0,21,7
2026-08-30 21:49:00,14,2,4,8,0.1194,0.9083,9.31,664917.99,14.29,21,7
2026-08-30 21:39:00,6,0,4,2,0.1122,0.759,7.29,346737.83,0.0,21,7
2026-08-30 21:29:00,9,2,5,2,0.1932,0.8261,11.95,282734.27,22.22,21,7
2026-08-30 21:19:00,12,1,5,6,0.211,0.7895,1.33,398077.65,8.33,21,7
2026-08-30 21:09:00,19,0,5,14,0.2048,0.9297,11.22,764757.31,0.0,21,7
2026-08-30 20:59:00,35,2,3,30,0.1881,0.9088,5.17,125573.33,5.71,20,7
2026-08-30 20:49:00,44,3,4,37,0.1167,0.9748,3.62,148206.35,6.82,20,7
2026-08-30 20:39:00,48,2,5,41,0.1051,0.8939,11.03,207147.73,4.17,20,7
2026-08-30 20:29:00,26,2,2,22,0.1888,0.9832,6.66,165118.0,7.69,20,7
2026-08-30 20:19:00,15,7,1,7,0.0985,0.9126,2.23,455063.95,46.67,20,7
2026-08-30 20:09:00,52,3,4,45,0.1614,0.7979,10.21,622325.7,5.77,20,7
2026-08-30 19:59:00,44,2,5,37,0.0973,0.9726,5.45,290758.95,4.55,19,7
2026-08-30 19:49:00,20,2,3,15,0.1728,0.9793,4.15,789846.74,10.0,19,7
2026-08-30 19:39:00,15,4,3,8,0.1688,0.7754,2.44,385291.46,26.67,19,7
2026-08-30 19:29:00,15,5,5,5,0.1634,0.9739,10.21,423905.28,33.33,19,7
2026-08-30 19:19:00,46,5,5,36,0.0953,0.9491,10.12,236112.59,10.87,19,7
2026-08-30 19:09:00,28,2,3,23,0.1648,0.9583,7.86,380057.26,7.14,19,7
2026-08-30 18:59:00,29,2,5,22,0.1713,0.9582,6.11,248271.65,6.9,18,7
2026-08-30 18:49:00,25,4,2,19,0.1844,0.946,2.03,103247.09,16.0,18,7
2026-08-30 18:39:00,38,4,2,32,0.1955,0.8245,2.48,786776.38,10.53,18,7
2026-08-30 18:29:00,38,2,1,35,0.1199,0.7869,2.15,66918.41,5.26,18,7
2026-08-30 18:19:00,17,6,1,10,0.0875,0.8919,8.76,364904.37,35.29,18,7
2026-08-30 18:09:00,48,3,2,43,0.1506,0.96,10.76,84780.05,6.25,18,7
2026-08-30 17:59:00,22,4,5,13,0.1149,0.8871,5.67,89403.3,18.18,17,7
2026-08-30 17:49:00,15,3,2,10,0.1533,0.7744,10.55,91569.49,20.0,17,7
2026-08-30 17:39:00,51,4,4,43,0.1981,0.9666,12.26,691620.7,7.84,17,7
2026-08-30 17:29:00,38,2,4,32,0.1699,0.937,2.37,478854.43,5.26,17,7
2026-08-30 17:19:00,35,3,5,27,0.1448,0.8424,8.28,263170.65,8.57,17,7
2026-08-30 17:09:00,17,7,1,9,0.1469,0.8501,3.52,344009.45,41.18,17,7
2026-08-30 16:59:00,29,5,4,20,0.1331,0.9146,4.27,809086.34,17.24,16,7
2026-08-30 16:49:00,41,3,5,33,0.1473,0.8288,7.06,728848.39,7.32,16,7
2026-08-30 16:39:00,41,4,2,35,0.1546,0.9019,4.17,637914.53,9.76,16,7
2026-08-30 16:29:00,16,6,2,8,0.1773,0.9566,2.35,541503.79,37.5,16,7
2026-08-30 16:19:00,18,5,4,9,0.0918,0.9746,2.41,817104.2,27.78,16,7
2026-08-30 16:09:00,21,6,5,10,0.1631,0.9378,10.1,806821.65,28.57,16,7
2026-08-30 15:59:00,25,2,4,19,0.0933,0.8979,2.8,501960.49,8.0,15,7
2026-08-30 15:49:00,15,5,3,7,0.1452,0.8754,9.74,689395.77,33.33,15,7
2026-08-30 15:39:00,34,5,2,27,0.2104,0.7787,2.17,120167.21,14.71,15,7
2026-08-30 15:29:00,34,5,4,25,0.1386,0.9358,8.65,316910.21,14.71,15,7
2026-08-30 15:19:00,50,6,5,39,0.1179,0.8374,4.48,176089.32,12.0,15,7
2026-08-30 15:09:00,53,6,1,46,0.2111,0.8551,5.28,633748.57,11.32,15,7
2026-08-30 14:59:00,37,3,5,29,0.1892,0.865,5.2,839305.24,8.11,14,7
2026-08-30 14:49:00,15,7,4,4,0.2132,0.7784,10.75,559659.11,46.67,14,7
2026-08-30 14:39:00,19,2,3,14,0.1761,0.753,6.12,710319.61,10.53,14,7
2026-08-30 14:29:00,32,5,2,25,0.1442,0.8562,4.33,784753.52,15.62,14,7
2026-08-30 14:19:00,46,6,3,37,0.2196,0.961,4.12,719517.26,13.04,14,7
2026-08-30 14:09:00,16,2,1,13,0.2199,0.9098,8.41,122352.58,12.5,14,7
2026-08-30 13:59:00,50,6,5,39,0.1137,0.7843,9.89,208563.38,12.0,13,7
2026-08-30 13:49:00,15,2,5,8,0.1719,0.7587,0.86,91326.33,13.33,13,7
2026-08-30 13:39:00,39,6,5,28,0.1134,0.9539,1.47,690771.08,15.38,13,7
2026-08-30 13:29:00,53,6,5,42,0.1881,0.9175,10.6,82121.04,11.32,13,7
2026-08-30 13:19:00,23,4,1,18,0.1506,0.9288,8.17,730904.88,17.39,13,7
2026-08-30 13:09:00,32,2,1,29,0.1828,0.7963,3.97,617923.76,6.25,13,7
2026-08-30 12:59:00,54,5,4,45,0.0876,0.8979,1.3,757316.57,9.26,12,7
2026-08-30 12:49:00,33,5,4,24,0.1042,0.772,2.95,834021.74,15.15,12,7
2026-08-30 12:39:00,33,5,3,25,0.1691,0.8874,2.5,806819.56,15.15,12,7
2026-08-30 12:29:00,36,6,2,28,0.1609,0.9179,8.4,802475.53,16.67,12,7
2026-08-30 12:19:00,20,2,3,15,0.1366,0.8638,2.19,157275.69,10.0,12,7
2026-08-30 12:09:00,52,5,2,45,0.1227,0.8527,7.95,557703.29,9.62,12,7
2026-08-30 11:59:00,31,7,1,23,0.1105,0.8912,4.51,78847.87,22.58,11,7
2026-08-30 11:49:00,26,4,3,19,0.1464,0.8041,7.5,502617.52,15.38,11,7
2026-08-30 11:39:00,43,5,3,35,0.1713,0.8259,10.01,489315.51,11.63,11,7
2026-08-30 11:29:00,22,5,3,14,0.1676,0.8366,6.8,639364.55,22.73,11,7
2026-08-30 11:19:00,50,5,1,44,0.1505,0.8749,10.16,301560.55,10.0,11,7
2026-08-30 11:09:00,35,7,5,23,0.1492,0.7778,1.64,723594.57,20.0,11,7
2026-08-30 10:59:00,17,6,1,10,0.1268,0.7915,4.47,644154.05,35.29,10,7
2026-08-30 10:49:00,51,3,1,47,0.1958,0.9556,5.16,172890.32,5.88,10,7
2026-08-30 10:39:00,39,3,4,32,0.1311,0.98,12.45,667683.91,7.69,10,7
2026-08-30 10:29:00,31,2,2,27,0.1763,0.9193,5.34,562710.91,6.45,10,7
2026-08-30 10:19:00,15,4,4,7,0.1535,0.7893,2.74,719043.43,26.67,10,7
2026-08-30 10:09:00,51,3,5,43,0.1578,0.9514,12.39,163276.71,5.88,10,7
2026-08-30 09:59:00,32,5,5,22,0.0912,0.9313,5.88,425461.55,15.62,9,7
2026-08-30 09:49:00,51,4,1,46,0.1053,0.9677,1.32,236281.83,7.84,9,7
2026-08-30 09:39:00,26,3,1,22,0.1621,0.8684,1.78,244933.96,11.54,9,7
2026-08-30 09:29:00,48,4,5,39,0.1693,0.9058,8.64,660322.42,8.33,9,7
2026-08-30 09:19:00,17,5,4,8,0.1555,0.8312,10.68,436058.01,29.41,9,7
2026-08-30 09:09:00,36,4,4,28,0.1993,0.8711,11.44,519699.15,11.11,9,7
2026-08-30 08:59:00,49,2,2,45,0.1498,0.8775,2.03,368842.01,4.08,8,7
2026-08-30 08:49:00,54,4,5,45,0.1683,0.7926,4.76,203282.41,7.41,8,7
2026-08-30 08:39:00,15,3,4,8,0.1427,0.8238,7.8,55851.57,20.0,8,7
2026-08-30 08:29:00,31,7,2,22,0.1784,0.9021,12.29,546286.17,22.58,8,7
2026-08-30 08:19:00,34,7,5,22,0.2065,0.923,12.07,675604.14,20.59,8,7
2026-08-30 08:09:00,33,6,5,22,0.096,0.9258,5.95,492483.04,18.18,8,7
2026-08-30 07:59:00,14,2,3,9,0.2178,0.8192,9.38,649986.83,14.29,7,7
2026-08-30 07:49:00,14,2,2,10,0.0973,0.7598,9.89,441759.79,14.29,7,7
