hour_bucket,total_events,fraud_count,suspicious_count,avg_risk_score,max_risk_score,avg_volume_spike,total_volume,active_traders,active_symbols,fraud_rate_pct,hour_of_day,day_of_week,hour_label
2026-08-30 23:00:00,67,9,27,0.1974,0.9093,5.77,5432620.99,43,9,13.43,23,7,2026-08-30 23:29
2026-08-30 22:00:00,92,3,30,0.1705,0.9226,6.76,3964969.66,29,8,3.26,22,7,2026-08-30 22:29
2026-08-30 21:00:00,43,4,38,0.2447,0.9824,8.8,5314071.18,64,8,9.3,21,7,2026-08-30 21:29
2026-08-30 20:00:00,259,12,13,0.1614,0.8489,1.03,8233900.6,70,10,4.63,20,7,2026-08-30 20:29
2026-08-30 19:00:00,158,20,29,0.1978,0.8826,8.63,8496144.88,31,9,12.66,19,7,2026-08-30 19:29
2026-08-30 18:00:00,163,28,15,0.1255,0.8177,4.74,639400.42,70,5,17.18,18,7,2026-08-30 18:29
2026-08-30 17:00:00,319,13,20,0.2045,0.8201,9.23,2268916.03,25,8,4.08,17,7,2026-08-30 17:29
2026-08-30 16:00:00,106,14,8,0.2016,0.8488,5.84,1392928.37,26,10,13.21,16,7,2026-08-30 16:29
2026-08-30 15:00:00,253,8,17,0.2248,0.8465,3.54,6967996.13,41,7,3.16,15,7,2026-08-30 15:29
2026-08-30 14:00:00,145,12,8,0.1527,0.8024,9.64,5634505.79,48,8,8.28,14,7,2026-08-30 14:29
2026-08-30 13:00:00,168,11,20,0.1951,0.8115,9.37,5135306.9,60,6,6.55,13,7,2026-08-30 13:29
2026-08-30 12:00:00,270,18,16,0.1007,0.9335,8.54,3588268.27,57,5,6.67,12,7,2026-08-30 12:29
2026-08-30 11:00:00,250,29,27,0.1376,0.9194,1.95,1075966.13,28,6,11.6,11,7,2026-08-30 11:29
2026-08-30 10:00:00,86,33,37,0.1329,0.9255,10.4,5855606.35,47,8,38.37,10,7,2026-08-30 10:29
2026-08-30 09:00:00,149,20,37,0.182,0.9822,8.49,3893812.94,39,7,13.42,9,7,2026-08-30 09:29
2026-08-30 08:00:00,159,26,36,0.1031,0.9614,3.42,6225033.89,66,9,16.35,8,7,2026-08-30 08:29
2026-08-30 07:00:00,96,5,10,0.2236,0.8698,4.05,4580129.46,27,7,5.21,7,7,2026-08-30 07:29
2026-08-30 06:00:00,60,6,29,0.1033,0.8828,9.47,788501.68,21,7,10.0,6,7,2026-08-30 06:29
2026-08-30 05:00:00,71,6,12,0.1809,0.9567,3.12,3322475.49,72,5,8.45,5,7,2026-08-30 05:29
2026-08-30 04:00:00,95,8,36,0.1749,0.8903,5.29,970317.29,27,10,8.42,4,7,2026-08-30 04:29
2026-08-30 03:00:00,91,8,19,0.1275,0.8652,2.17,6274317.93,44,8,8.79,3,7,2026-08-30 03:29
2026-08-30 02:00:00,68,9,15,0.1859,0.9861,2.16,4167880.09,72,7,13.24,2,7,2026-08-30 02:29
2026-08-30 01:00:00,60,2,21,0.183,0.8299,2.47,7350789.73,49,10,3.33,1,7,2026-08-30 01:29
2026-08-30 00:00:00,51,1,28,0.1866,0.9594,8.03,7224611.47,49,8,1.96,0,7,2026-08-30 00:29
2026-08-29 23:00:00,55,5,34,0.1444,0.8795,2.23,3891666.97,40,5,9.09,23,6,2026-08-29 23:29
2026-08-29 22:00:00,57,3,9,0.1268,0.9429,6.49,6949339.97,50,8,5.26,22,6,2026-08-29 22:29
2026-08-29 21:00:00,83,8,14,0.0967,0.9856,1.14,5274704.3,66,6,9.64,21,6,2026-08-29 21:29
2026-08-29 20:00:00,270,16,18,0.1818,0.8688,1.58,567692.15,77,5,5.93,20,6,2026-08-29 20:29
2026-08-29 19:00:00,165,7,19,0.1694,0.8865,7.57,634609.1,54,7,4.24,19,6,2026-08-29 19:29
2026-08-29 18:00:00,145,5,32,0.2347,0.8833,1.77,6889829.91,34,10,3.45,18,6,2026-08-29 18:29
2026-08-29 17:00:00,148,17,36,0.0875,0.9123,9.64,5923104.2,30,8,11.49,17,6,2026-08-29 17:29
2026-08-29 16:00:00,156,29,28,0.2215,0.8904,8.79,3635277.41,17,7,18.59,16,6,2026-08-29 16:29
2026-08-29 15:00:00,101,22,36,0.2461,0.8981,4.66,3659468.35,45,5,21.78,15,6,2026-08-29 15:29
2026-08-29 14:00:00,211,11,19,0.2029,0.8723,4.65,5435786.0,34,5,5.21,14,6,2026-08-29 14:29
2026-08-29 13:00:00,218,24,10,0.157,0.9367,8.2,7270086.91,47,7,11.01,13,6,2026-08-29 13:29
2026-08-29 12:00:00,169,28,18,0.2014,0.9105,7.0,4944183.26,48,9,16.57,12,6,2026-08-29 12:29
2026-08-29 11:00:00,314,10,11,0.1069,0.8774,7.31,4444572.87,51,10,3.18,11,6,2026-08-29 11:29
2026-08-29 10:00:00,171,5,36,0.2114,0.9,10.03,3894922.32,70,9,2.92,10,6,2026-08-29 10:29
2026-08-29 09:00:00,262,10,28,0.1375,0.8201,5.77,2038081.07,33,9,3.82,9,6,2026-08-29 09:29
2026-08-29 08:00:00,232,22,14,0.101,0.9841,7.25,7991607.32,35,7,9.48,8,6,2026-08-29 08:29
2026-08-29 07:00:00,62,1,32,0.1749,0.8028,9.18,5459765.44,52,5,1.61,7,6,2026-08-29 07:29
