trader_id,total_windows,fraud_windows,suspicious_windows,safe_windows,avg_risk_score,max_risk_score,avg_volume_spike,avg_cancel_ratio,wash_trade_rate,layering_rate,total_volume_traded,fraud_rate_pct,risk_tier,trader_status
TRADER_0546,40,0,6,34,0.6103,0.9188,9.93,0.2164,0.3625,0.0896,696021.99,0.0,HIGH,NORMAL
TRADER_0045,31,0,2,29,0.7447,0.9175,1.23,0.2972,0.0687,0.0369,1471792.88,0.0,HIGH,NORMAL
TRADER_0534,56,13,4,39,0.6929,0.9107,12.17,0.4714,0.1434,0.0849,1062067.5,23.21,HIGH,WATCH
TRADER_0327,36,0,4,32,0.57,0.8823,4.08,0.6007,0.2072,0.0777,2116006.74,0.0,HIGH,NORMAL
TRADER_0265,101,34,11,56,0.7428,0.8679,7.73,0.3676,0.0744,0.0441,1696613.03,33.66,HIGH,FLAGGED
TRADER_0048,27,1,2,24,0.5813,0.8589,2.75,0.3664,0.3255,0.0483,527128.81,3.7,HIGH,NORMAL
TRADER_0108,45,5,6,34,0.5414,0.8498,1.25,0.6329,0.2815,0.0853,519142.14,11.11,MEDIUM,WATCH
TRADER_0572,54,17,6,31,0.618,0.8492,3.38,0.4759,0.2878,0.0788,1560957.9,31.48,MEDIUM,FLAGGED
TRADER_0579,107,21,23,63,0.5266,0.8401,2.76,0.6195,0.2451,0.2004,2286010.85,19.63,MEDIUM,WATCH
TRADER_0044,88,13,1,74,0.637,0.8333,7.82,0.6299,0.1338,0.2672,1802022.82,14.77,MEDIUM,WATCH
TRADER_0410,87,23,8,56,0.475,0.8221,8.74,0.0836,0.0182,0.2371,1064834.53,26.44,MEDIUM,WATCH
TRADER_0372,22,3,1,18,0.5171,0.7785,7.34,0.4732,0.2042,0.2139,570170.94,13.64,MEDIUM,WATCH
TRADER_0149,108,34,23,51,0.7437,0.7761,12.04,0.5249,0.2577,0.0837,2413219.2,31.48,MEDIUM,FLAGGED
TRADER_0259,24,3,1,20,0.4982,0.7739,13.51,0.4452,0.0271,0.0549,2385405.67,12.5,MEDIUM,WATCH
TRADER_0368,88,12,19,57,0.7358,0.7687,5.83,0.3942,0.0339,0.1148,660318.49,13.64,MEDIUM,WATCH
TRADER_0276,93,26,8,59,0.5785,0.7583,1.58,0.4446,0.2866,0.1571,1986559.45,27.96,MEDIUM,WATCH
TRADER_0131,83,2,5,76,0.4988,0.7526,4.32,0.2207,0.0988,0.2871,484394.12,2.41,MEDIUM,NORMAL
TRADER_0232,60,5,6,49,0.5802,0.743,13.09,0.4804,0.3896,0.2666,643822.56,8.33,MEDIUM,NORMAL
TRADER_0269,117,22,2,93,0.4565,0.7421,12.99,0.5341,0.1822,0.0357,1427241.83,18.8,MEDIUM,WATCH
TRADER_0090,30,1,3,26,0.6562,0.7375,11.19,0.5727,0.3259,0.2435,1162936.31,3.33,MEDIUM,NORMAL
TRADER_0239,87,12,20,55,0.7272,0.7369,6.05,0.4962,0.3012,0.0258,1527627.33,13.79,MEDIUM,WATCH
TRADER_0257,56,11,12,33,0.5843,0.7359,4.47,0.3299,0.1313,0.2828,1274834.95,19.64,MEDIUM,WATCH
TRADER_0207,56,5,12,39,0.5067,0.7176,7.17,0.2312,0.2794,0.2943,1067646.66,8.93,MEDIUM,NORMAL
TRADER_0513,6,0,0,6,0.6753,0.7171,13.24,0.5467,0.3484,0.0455,300811.65,0.0,MEDIUM,NORMAL
TRADER_0568,25,1,2,22,0.6333,0.705,6.73,0.2385,0.3651,0.2759,1630705.96,4.0,MEDIUM,NORMAL
TRADER_0486,69,3,6,60,0.6478,0.6973,13.19,0.157,0.181,0.1058,304134.3,4.35,MEDIUM,NORMAL
TRADER_0341,103,8,0,95,0.5331,0.6971,10.41,0.4968,0.1181,0.0854,1232170.6,7.77,MEDIUM,NORMAL
TRADER_0244,69,9,13,47,0.3479,0.6946,10.75,0.2399,0.1486,0.1292,101413.35,13.04,MEDIUM,WATCH
TRADER_0296,46,5,9,32,0.5161,0.6914,8.32,0.5395,0.1346,0.2001,921816.75,10.87,MEDIUM,WATCH
TRADER_0499,53,0,5,48,0.3538,0.6852,8.25,0.1108,0.1799,0.0609,2196292.89,0.0,MEDIUM,NORMAL
TRADER_0461,101,16,14,71,0.4976,0.6796,2.37,0.5663,0.1436,0.1298,522110.97,15.84,MEDIUM,WATCH
TRADER_0435,62,17,10,35,0.6642,0.6792,14.89,0.1686,0.1238,0.0748,676156.42,27.42,MEDIUM,WATCH
TRADER_0415,38,3,1,34,0.4234,0.6669,3.33,0.2893,0.1779,0.0648,1416973.12,7.89,MEDIUM,NORMAL
TRADER_0491,36,8,8,20,0.6545,0.6625,4.14,0.0377,0.3283,0.1744,1289159.17,22.22,MEDIUM,WATCH
TRADER_0234,115,1,1,113,0.5551,0.6531,13.02,0.1638,0.3359,0.0236,408219.7,0.87,MEDIUM,NORMAL
TRADER_0274,45,6,0,39,0.4263,0.6497,2.52,0.3638,0.0791,0.2534,2089552.12,13.33,MEDIUM,WATCH
TRADER_0585,23,4,0,19,0.3146,0.6471,7.51,0.0793,0.2751,0.289,2270783.66,17.39,MEDIUM,WATCH
TRADER_0408,60,3,1,56,0.6108,0.6239,0.91,0.3052,0.0885,0.1781,74284.32,5.0,MEDIUM,NORMAL
TRADER_0527,57,6,6,45,0.5307,0.6176,8.12,0.5168,0.2684,0.0895,838838.21,10.53,MEDIUM,WATCH
TRADER_0354,112,12,17,83,0.4472,0.609,13.39,0.6125,0.0878,0.03,1965490.5,10.71,MEDIUM,WATCH
TRADER_0037,116,8,27,81,0.3381,0.605,6.11,0.0944,0.3453,0.0001,149292.78,6.9,MEDIUM,NORMAL
TRADER_0411,86,10,14,62,0.3921,0.6022,3.85,0.2522,0.3461,0.033,1497962.4,11.63,MEDIUM,WATCH
TRADER_0025,48,2,10,36,0.4553,0.5964,4.12,0.2896,0.383,0.1528,1179028.93,4.17,LOW,NORMAL
TRADER_0235,17,1,3,13,0.5605,0.5837,2.19,0.4044,0.2428,0.2917,942628.21,5.88,LOW,NORMAL
TRADER_0057,109,31,5,73,0.3997,0.5822,2.85,0.4724,0.0355,0.2079,2123052.59,28.44,LOW,WATCH
TRADER_0476,58,2,7,49,0.2699,0.5689,8.84,0.3267,0.3644,0.2514,2033876.71,3.45,LOW,NORMAL
TRADER_0096,84,16,8,60,0.3398,0.5516,11.52,0.3712,0.2035,0.2181,1766108.73,19.05,LOW,WATCH
TRADER_0381,99,3,22,74,0.2217,0.5314,2.51,0.0448,0.2818,0.136,2097528.57,3.03,LOW,NORMAL
TRADER_0172,116,28,26,62,0.4883,0.5305,1.35,0.1101,0.3293,0.2232,2372443.29,24.14,LOW,WATCH
TRADER_0086,61,14,6,41,0.3009,0.5166,5.6,0.4876,0.3205,0.2628,614574.32,22.95,LOW,WATCH
TRADER_0561,15,0,1,14,0.3804,0.5113,9.0,0.5955,0.1308,0.1738,2194881.69,0.0,LOW,NORMAL
TRADER_0084,103,0,1,102,0.3983,0.5069,10.57,0.164,0.3091,0.0859,1555950.63,0.0,LOW,NORMAL
TRADER_0261,74,2,0,72,0.4172,0.4853,11.0,0.6258,0.0835,0.1947,537467.81,2.7,LOW,NORMAL
TRADER_0103,56,10,13,33,0.4711,0.4818,9.87,0.48,0.2692,0.0996,2067394.66,17.86,LOW,WATCH
TRADER_0254,83,18,2,63,0.1888,0.478,14.95,0.0729,0.0401,0.229,170242.16,21.69,LOW,WATCH
TRADER_0221,92,19,15,58,0.2889,0.4736,10.21,0.511,0.0321,0.0068,294987.22,20.65,LOW,WATCH
TRADER_0380,15,4,1,10,0.2488,0.4721,14.34,0.4753,0.1979,0.2066,1933619.4,26.67,LOW,WATCH
TRADER_0211,23,2,3,18,0.4346,0.4683,13.17,0.3381,0.1893,0.0595,948714.61,8.7,LOW,NORMAL
TRADER_0434,102,29,18,55,0.3153,0.4649,5.39,0.1066,0.2855,0.2619,2264925.7,28.43,LOW,WATCH
TRADER_0530,12,1,0,11,0.1597,0.4558,14.3,0.1077,0.2767,0.1517,1333433.34,8.33,LOW,NORMAL
TRADER_0592,8,0,0,8,0.331,0.4473,13.12,0.3215,0.0905,0.0866,349810.71,0.0,LOW,NORMAL
TRADER_0268,23,5,1,17,0.2366,0.4312,12.9,0.1697,0.2944,0.2862,2166942.38,21.74,LOW,WATCH
TRADER_0445,12,0,1,11,0.1971,0.4268,11.37,0.048,0.3079,0.0805,979969.44,0.0,LOW,NORMAL
TRADER_0489,102,18,0,84,0.1469,0.4261,7.24,0.5741,0.2542,0.1871,737665.41,17.65,LOW,WATCH
TRADER_0545,17,2,2,13,0.1735,0.4229,4.57,0.2094,0.0894,0.2356,2399936.44,11.76,LOW,WATCH
TRADER_0094,115,31,24,60,0.255,0.418,0.64,0.488,0.1209,0.1684,431557.7,26.96,LOW,WATCH
TRADER_0201,46,4,7,35,0.254,0.416,10.73,0.5681,0.2634,0.2259,441583.72,8.7,LOW,NORMAL
TRADER_0193,44,0,7,37,0.0644,0.4113,4.28,0.4355,0.3397,0.0481,2121219.56,0.0,LOW,NORMAL
TRADER_0075,55,17,10,28,0.0785,0.4085,1.18,0.3868,0.2301,0.2359,379623.2,30.91,LOW,FLAGGED
TRADER_0377,49,6,0,43,0.072,0.3681,0.97,0.49,0.1528,0.1796,626718.22,12.24,LOW,WATCH
TRADER_0452,37,5,3,29,0.3249,0.3585,4.36,0.3314,0.1727,0.1635,2124173.47,13.51,LOW,WATCH
TRADER_0454,98,7,13,78,0.2179,0.3557,10.01,0.5451,0.2771,0.1783,377844.12,7.14,LOW,NORMAL
TRADER_0339,58,18,2,38,0.2041,0.3532,7.07,0.0136,0.3117,0.299,1326440.27,31.03,LOW,FLAGGED
TRADER_0388,116,25,0,91,0.076,0.3531,2.92,0.0683,0.375,0.2891,1544480.66,21.55,LOW,WATCH
TRADER_0517,41,7,5,29,0.0693,0.3413,2.19,0.5481,0.2117,0.0183,2084780.15,17.07,LOW,WATCH
TRADER_0143,22,4,3,15,0.3199,0.3363,8.26,0.6471,0.3876,0.0663,1891684.31,18.18,LOW,WATCH
TRADER_0194,63,21,12,30,0.208,0.3312,1.59,0.2793,0.2675,0.2515,1419128.13,33.33,LOW,FLAGGED
TRADER_0185,117,21,9,87,0.0763,0.324,8.46,0.4733,0.035,0.2987,2485927.93,17.95,LOW,WATCH
TRADER_0395,94,5,4,85,0.1547,0.319,11.11,0.4268,0.0842,0.0912,2422747.51,5.32,LOW,NORMAL
TRADER_0219,12,0,0,12,0.1913,0.3141,6.45,0.4554,0.3382,0.2163,443229.02,0.0,LOW,NORMAL
TRADER_0391,62,7,1,54,0.2892,0.3124,5.11,0.1668,0.0022,0.1604,300448.33,11.29,LOW,WATCH
TRADER_0067,93,4,16,73,0.1234,0.3086,4.45,0.1791,0.2378,0.2394,1945176.91,4.3,LOW,NORMAL
TRADER_0405,117,22,26,69,0.1717,0.3007,7.11,0.0896,0.0083,0.2982,2192876.54,18.8,LOW,WATCH
TRADER_0212,10,0,1,9,0.1294,0.2993,5.02,0.2994,0.1735,0.2724,1229939.64,0.0,LOW,NORMAL
TRADER_0184,31,3,0,28,0.1455,0.2894,6.9,0.0798,0.3667,0.1797,977453.47,9.68,LOW,NORMAL
TRADER_0035,105,6,22,77,0.243,0.2879,14.66,0.139,0.0547,0.1878,803969.24,5.71,LOW,NORMAL
TRADER_0288,48,8,1,39,0.0927,0.2672,10.0,0.5567,0.3131,0.2572,1902571.24,16.67,LOW,WATCH
TRADER_0109,48,13,10,25,0.2349,0.2549,10.18,0.2458,0.2608,0.1041,1144794.42,27.08,LOW,WATCH
TRADER_0329,104,6,4,94,0.1825,0.2373,1.89,0.4197,0.2448,0.195,1935517.02,5.77,LOW,NORMAL
TRADER_0428,30,1,5,24,0.2178,0.2364,1.66,0.593,0.2979,0.2795,1180274.93,3.33,LOW,NORMAL
TRADER_0418,9,1,0,8,0.0819,0.2325,9.8,0.3595,0.0301,0.2004,779068.26,11.11,LOW,WATCH
TRADER_0485,94,19,1,74,0.1453,0.2135,7.55,0.0383,0.1662,0.2365,380298.84,20.21,LOW,WATCH
TRADER_0475,34,5,5,24,0.1398,0.2081,9.74,0.1952,0.0478,0.0465,422386.78,14.71,LOW,WATCH
TRADER_0230,10,0,1,9,0.1843,0.1959,8.8,0.0633,0.0383,0.2401,1234107.88,0.0,LOW,NORMAL
TRADER_0369,92,26,2,64,0.1427,0.1827,11.69,0.4103,0.2078,0.2722,1652379.99,28.26,LOW,WATCH
TRADER_0121,74,8,8,58,0.0794,0.1706,2.79,0.5494,0.0339,0.2899,1475399.3,10.81,LOW,WATCH
TRADER_0191,91,7,9,75,0.0811,0.158,5.47,0.6497,0.1211,0.0079,1287174.73,7.69,LOW,NORMAL
TRADER_0050,93,7,6,80,0.0768,0.1238,8.77,0.5272,0.3547,0.1905,1013826.7,7.53,LOW,NORMAL
TRADER_0304,43,13,0,30,0.059,0.123,12.26,0.345,0.2503,0.1073,181008.18,30.23,LOW,FLAGGED
TRADER_0382,29,0,3,26,0.0802,0.0816,14.01,0.4512,0.2247,0.1023,1430639.66,0.0,LOW,NORMAL
